,Stkcd,Trdmnt,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype,Trdmnt_year,Trdmnt_mon,bemeA
0,4,2006-1-1,174542.8,351862.31,0.012077,0.012077,4,2006,2006-01,0.736354
1,4,2006-2-1,180374.78,363619.04,0.033413,0.033413,4,2006,2006-02,0.736354
2,4,2006-3-1,172043.38,346823.7,-0.046189,-0.046189,4,2006,2006-03,0.736354
3,4,2006-4-1,134552.08,271244.69,-0.21791799999999997,-0.21791799999999997,4,2006,2006-04,0.736354
4,4,2006-5-1,196621.0,396369.95,0.4613,0.4613,4,2006,2006-05,0.736354
5,4,2006-6-1,199953.56,403088.08,0.016949000000000002,0.016949000000000002,4,2006,2006-06,0.736354
6,4,2006-7-1,216616.36,436678.76,0.083333,0.083333,4,2006,2006-07,0.736354
7,4,2006-8-1,195584.05,315752.33,-0.09615399999999999,-0.09615399999999999,4,2006,2006-08,0.736354
8,4,2006-9-1,202346.27,326669.3,0.034574,0.034574,4,2006,2006-09,0.736354
9,4,2006-10-1,200785.76,324150.0,-0.007712,-0.007712,4,2006,2006-10,0.736354
10,4,2006-11-1,215870.7,348503.24,0.07513,0.07513,4,2006,2006-11,0.736354
11,4,2006-12-1,213269.84,344304.4,-0.012048,-0.012048,4,2006,2006-12,0.736354
12,4,2007-1-1,244480.06,394690.41,0.146341,0.146341,4,2007,2007-01,0.324156
13,4,2007-2-1,299097.95,482865.93,0.223404,0.223404,4,2007,2007-02,0.324156
14,4,2007-3-1,396369.81,639902.33,0.32521700000000003,0.32521700000000003,4,2007,2007-03,0.324156
15,4,2007-4-1,473355.02,764187.82,0.194226,0.194226,4,2007,2007-04,0.324156
16,4,2007-5-1,551941.24,856562.18,0.165714,0.165714,4,2007,2007-05,0.324156
17,4,2007-6-1,342528.24,531572.41,-0.37941199999999997,-0.37941199999999997,4,2007,2007-06,0.324156
18,4,2007-7-1,476184.6,738994.82,0.390205,0.390205,4,2007,2007-07,0.324156
19,4,2007-8-1,639839.61,822971.5,0.11363599999999999,0.11363599999999999,4,2007,2007-08,0.324156
20,4,2007-9-1,613070.81,788541.06,-0.041837,-0.041837,4,2007,2007-09,0.324156
21,4,2007-10-1,660732.33,849844.04,0.07774199999999999,0.07774199999999999,4,2007,2007-10,0.324156
22,4,2007-11-1,590872.29,759988.99,-0.10573099999999999,-0.10573099999999999,4,2007,2007-11,0.324156
23,4,2007-12-1,650285.97,836407.77,0.100552,0.100552,4,2007,2007-12,0.324156
24,7,2009-1-1,521132.89,665875.31,0.11111099999999999,0.11111099999999999,4,2009,2009-01,0.506636
25,7,2009-2-1,615226.33,786102.79,0.180556,0.180556,4,2009,2009-02,0.506636
26,7,2009-3-1,660101.66,843442.06,0.07294099999999999,0.07294099999999999,4,2009,2009-03,0.506636
27,7,2009-4-1,699186.63,893382.7,0.059211,0.059211,4,2009,2009-04,0.506636
28,7,2009-5-1,710767.36,908179.93,0.016562999999999998,0.016562999999999998,4,2009,2009-05,0.506636
29,7,2009-6-1,796175.25,1017309.5,0.120163,0.120163,4,2009,2009-06,0.506636
30,7,2009-7-1,991600.09,1267012.74,0.245455,0.245455,4,2009,2009-07,0.506636
31,7,2009-8-1,966991.04,1235568.62,-0.024818,-0.024818,4,2009,2009-08,0.506636
32,7,2009-9-1,948172.35,1211523.13,-0.019461000000000003,-0.019461000000000003,4,2009,2009-09,0.506636
33,7,2009-10-1,1246666.55,1246666.55,0.029008,0.029008,4,2009,2009-10,0.506636
34,7,2009-11-1,1394638.84,1394638.84,0.11869400000000001,0.11869400000000001,4,2009,2009-11,0.506636
35,7,2009-12-1,1300306.5,1300306.5,-0.067639,-0.067639,4,2009,2009-12,0.506636
36,10,2006-1-1,183043.38,396947.11,-0.042553,-0.042553,4,2006,2006-01,0.7357319999999999
37,10,2006-2-1,195246.28,423410.25,0.06666699999999999,0.06666699999999999,4,2006,2006-02,0.7357319999999999
38,10,2006-3-1,192534.52,417529.55,-0.013888999999999999,-0.013888999999999999,4,2006,2006-03,0.7357319999999999
39,10,2006-4-1,146434.71,317557.69,-0.23943699999999998,-0.23943699999999998,4,2006,2006-04,0.7357319999999999
40,10,2006-5-1,183043.38,396947.11,0.25,0.25,4,2006,2006-05,0.7357319999999999
41,10,2006-6-1,213550.61,463104.96,0.166667,0.166667,4,2006,2006-06,0.7357319999999999
42,10,2006-7-1,227109.38,492508.45,0.06349199999999999,0.06349199999999999,4,2006,2006-07,0.7357319999999999
43,10,2006-8-1,250159.29,542494.38,0.101493,0.101493,4,2006,2006-08,0.7357319999999999
44,10,2006-9-1,323376.65,701273.23,0.29268299999999997,0.29268299999999997,4,2006,2006-09,0.7357319999999999
45,10,2006-10-1,362697.08,786543.35,0.121593,0.121593,4,2006,2006-10,0.7357319999999999
46,10,2006-11-1,319309.01,692452.18,-0.119626,-0.119626,4,2006,2006-11,0.7357319999999999
47,10,2006-12-1,364052.95,789483.7,0.140127,0.140127,4,2006,2006-12,0.7357319999999999
48,10,2015-5-1,6249847.47,10261817.8,1.358108,1.358108,4,2015,2015-05,0.296948
49,10,2015-6-1,3871682.01,6357034.41,-0.38051599999999997,-0.38051599999999997,4,2015,2015-06,0.296948
50,10,2015-7-1,2969125.24,4875098.54,-0.23311700000000002,-0.23311700000000002,4,2015,2015-07,0.296948
51,10,2015-8-1,2560825.75,4204698.98,-0.137515,-0.137515,4,2015,2015-08,0.296948
52,10,2015-9-1,2516927.64,3628390.59,-0.13706300000000002,-0.13706300000000002,4,2015,2015-09,0.296948
53,10,2015-10-1,3548990.35,5116207.16,0.410049,0.410049,4,2015,2015-10,0.296948
54,10,2015-11-1,3699924.42,6399911.18,0.042529000000000004,0.042529000000000004,4,2015,2015-11,0.296948
