,Stkcd,Trdmnt,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype,Trdmnt_year,Trdmnt_mon,bemeA
0,408,2007-1-1,225616.98,477971.18,0.184028,0.184028,4,2007,2007-01,1.001526
1,408,2007-2-1,276562.75,585900.15,0.225806,0.225806,4,2007,2007-02,1.001526
2,408,2007-3-1,368529.79,780732.98,0.332536,0.332536,4,2007,2007-03,1.001526
3,408,2007-4-1,553125.51,1171800.3,0.500898,0.500898,4,2007,2007-04,1.001526
4,408,2007-5-1,650385.61,1377846.53,0.175837,0.175837,4,2007,2007-05,1.001526
5,408,2007-6-1,477699.3,1012009.35,-0.265514,-0.265514,4,2007,2007-06,1.001526
6,408,2007-7-1,535261.4,1133955.08,0.120499,0.120499,4,2007,2007-07,1.001526
7,408,2007-8-1,623920.28,1321779.53,0.16563699999999998,0.16563699999999998,4,2007,2007-08,1.001526
8,408,2007-9-1,747645.72,1583892.75,0.198303,0.198303,4,2007,2007-09,1.001526
9,408,2007-10-1,618627.21,1310566.13,-0.172566,-0.172566,4,2007,2007-10,1.001526
10,408,2007-11-1,638110.65,1105921.58,-0.15615,-0.15615,4,2007,2007-11,1.001526
11,408,2007-12-1,711707.7,1233474.0,0.115336,0.115336,4,2007,2007-12,1.001526
12,411,2007-1-1,226415.86,646552.33,0.17364000000000002,0.17364000000000002,4,2007,2007-01,1.242497
13,411,2007-2-1,270811.13,773327.3,0.196078,0.196078,4,2007,2007-02,1.242497
14,411,2007-3-1,342247.15,977319.75,0.263785,0.263785,4,2007,2007-03,1.242497
15,411,2007-4-1,625973.27,1787527.03,0.829009,0.829009,4,2007,2007-04,1.242497
16,411,2007-5-1,586824.72,1675734.56,-0.06254,-0.06254,4,2007,2007-05,1.242497
17,411,2007-6-1,320453.11,915084.76,-0.45392,-0.45392,4,2007,2007-06,1.242497
18,411,2007-7-1,459289.22,1311544.66,0.433249,0.433249,4,2007,2007-07,1.242497
19,411,2007-8-1,568663.02,1623872.08,0.238137,0.238137,4,2007,2007-08,1.242497
20,411,2007-9-1,1241888.58,1786374.54,0.10007100000000001,0.10007100000000001,4,2007,2007-09,1.242497
21,411,2007-10-1,1148146.02,1651532.07,-0.07548400000000001,-0.07548400000000001,4,2007,2007-10,1.242497
22,411,2007-11-1,955853.6,1374932.14,-0.167481,-0.167481,4,2007,2007-11,1.242497
23,411,2007-12-1,1057608.34,1521299.6,0.106454,0.106454,4,2007,2007-12,1.242497
24,558,2006-1-1,159593.82,370239.42,-0.07602300000000001,-0.07602300000000001,4,2006,2006-01,1.9289439999999998
25,558,2006-2-1,182825.83,424135.03,0.14557,0.14557,4,2006,2006-02,1.9289439999999998
26,558,2006-3-1,174745.13,405388.73,-0.044199,-0.044199,4,2006,2006-03,1.9289439999999998
27,558,2006-4-1,153864.91,297597.51,-0.119076,-0.119075,4,2006,2006-04,1.9289439999999998
28,558,2006-5-1,190816.72,369067.77,0.240157,0.240157,4,2006,2006-05,1.9289439999999998
29,558,2006-6-1,190210.95,367896.13,-0.003175,-0.003175,4,2006,2006-06,1.9289439999999998
30,558,2006-7-1,231403.13,447567.9,0.216561,0.216561,4,2006,2006-07,1.9289439999999998
31,558,2006-8-1,252604.98,488575.44,0.091623,0.091623,4,2006,2006-08,1.9289439999999998
32,558,2006-9-1,279258.75,540127.76,0.10551600000000001,0.10551600000000001,4,2006,2006-09,1.9289439999999998
33,558,2006-10-1,255028.05,493262.01,-0.086768,-0.086768,4,2006,2006-10,1.9289439999999998
34,558,2006-11-1,295008.7,570590.5,0.15677,0.15677,4,2006,2006-11,1.9289439999999998
35,558,2006-12-1,296826.0,574105.43,0.0061600000000000005,0.0061600000000000005,4,2006,2006-12,1.9289439999999998
36,587,2006-1-1,142774.69,317566.8,-0.118557,-0.118557,4,2006,2006-01,1.9157509999999998
37,587,2006-2-1,164483.12,365851.81,0.15204700000000002,0.15204700000000002,4,2006,2006-02,1.9157509999999998
38,587,2006-3-1,136930.11,304566.99,-0.16751300000000002,-0.16751300000000002,4,2006,2006-03,1.9157509999999998
39,587,2006-4-1,121066.26,269281.79,-0.115854,-0.115854,4,2006,2006-04,1.9157509999999998
40,587,2006-5-1,161143.37,358423.35,0.331034,0.331034,4,2006,2006-05,1.9157509999999998
41,587,2006-6-1,172832.52,384422.97,0.07253899999999999,0.07253899999999999,4,2006,2006-06,1.9157509999999998
42,587,2006-7-1,169492.76,376994.5,-0.019324,-0.019324,4,2006,2006-07,1.9157509999999998
43,587,2006-8-1,188696.38,419708.17,0.1133,0.1133,4,2006,2006-08,1.9157509999999998
44,587,2006-9-1,213744.57,475421.64,0.132743,0.132743,4,2006,2006-09,1.9157509999999998
45,587,2006-10-1,217084.33,482850.1,0.015625,0.015625,4,2006,2006-10,1.9157509999999998
46,587,2006-11-1,184521.68,410422.59,-0.15,-0.15,4,2006,2006-11,1.9157509999999998
47,587,2006-12-1,212074.69,471707.41,0.149321,0.149321,4,2006,2006-12,1.9157509999999998
