,Stkcd,Trdmnt,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype,Trdmnt_year,Trdmnt_mon,bemeA
0,21,2005-7-1,1616691.73,5907432.73,0.089189,0.089189,4,2005,2005-07,0.785521
1,21,2005-8-1,1658813.98,6061348.48,0.026055000000000002,0.026055000000000002,4,2005,2005-08,0.785521
2,21,2005-9-1,1706953.68,6237252.18,0.029020999999999998,0.029020999999999998,4,2005,2005-09,0.785521
3,21,2005-10-1,1658813.98,6061348.48,-0.028201999999999998,-0.028201999999999998,4,2005,2005-10,0.785521
4,21,2005-11-1,1538464.71,5621589.21,-0.072551,-0.072551,4,2005,2005-11,0.785521
5,21,2005-12-1,1604656.81,5863456.81,0.043025,0.043025,4,2005,2005-12,0.785521
6,21,2006-1-1,1891489.21,6911549.71,0.17875,0.17875,4,2006,2006-01,0.540583
7,21,2006-2-1,2015850.12,7365967.62,0.065748,0.065748,4,2006,2006-02,0.540583
8,21,2006-3-1,2023873.4,7395284.9,0.00398,0.00398,4,2006,2006-03,0.540583
9,21,2006-4-1,2262566.1,8267474.1,0.11793900000000002,0.11793900000000002,4,2006,2006-04,0.540583
10,21,2006-5-1,2597317.76,7329321.01,0.152482,0.152482,4,2006,2006-05,0.540583
11,21,2006-6-1,2730300.43,7704582.24,0.068673,0.0662,4,2006,2006-06,0.540583
12,21,2006-7-1,2387454.48,6737111.87,-0.12557100000000002,-0.12557100000000002,4,2006,2006-07,0.540583
13,21,2006-8-1,2524592.86,7124100.02,0.057441,0.057441,4,2006,2006-08,0.540583
14,21,2006-9-1,2543293.55,7176871.13,0.0074069999999999995,0.0074069999999999995,4,2006,2006-09,0.540583
15,21,2006-10-1,2403038.39,6781087.8,-0.055147,-0.055147,4,2006,2006-10,0.540583
16,21,2006-11-1,2565111.02,7238437.43,0.067445,0.067445,4,2006,2006-11,0.540583
17,21,2006-12-1,2596278.83,7326389.28,0.012151,0.012151,4,2006,2006-12,0.540583
18,22,2005-7-1,1570037.04,8534981.99,-0.115595,-0.114704,4,2005,2005-07,0.386067
19,22,2005-8-1,1617924.88,8795308.24,0.030501,0.030501,4,2005,2005-08,0.386067
20,22,2005-9-1,1470840.8,7995734.76,-0.090909,-0.090909,4,2005,2005-09,0.386067
21,22,2005-10-1,1203181.98,6540696.98,-0.181977,-0.181977,4,2005,2005-10,0.386067
22,22,2005-11-1,1091158.64,5931719.51,-0.093106,-0.093106,4,2005,2005-11,0.386067
23,22,2005-12-1,1139046.48,6192045.76,0.043887,0.043887,4,2005,2005-12,0.386067
24,22,2006-1-1,1210878.24,6582535.13,0.063063,0.063063,4,2006,2006-01,0.535227
25,22,2006-2-1,1228836.18,6680157.47,0.014831,0.014831,4,2006,2006-02,0.535227
26,22,2006-4-1,1353686.62,7358865.19,0.101601,0.101601,4,2006,2006-04,0.535227
