,Stkcd,Trdmnt,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype,Trdmnt_year,Trdmnt_mon,bemeA
0,5,2008-1-1,5034735.74,6318045.22,-0.028129,-0.028129,4,2008,2008-01,0.41663
1,5,2008-2-1,5304323.62,6656348.66,0.053546,0.053546,4,2008,2008-02,0.41663
2,5,2008-3-1,4998304.95,6272328.54,-0.05769199999999999,-0.05769199999999999,4,2008,2008-03,0.41663
3,5,2008-4-1,4131252.05,5184271.55,-0.173469,-0.173469,4,2008,2008-04,0.41663
4,5,2008-5-1,3446353.12,4324797.96,-0.165785,-0.165785,4,2008,2008-05,0.41663
5,5,2008-6-1,2783312.67,3492754.38,-0.192389,-0.192389,4,2008,2008-06,0.41663
6,5,2008-7-1,2470007.84,3099590.93,-0.11256500000000001,-0.11256500000000001,4,2008,2008-07,0.41663
7,5,2008-8-1,1918591.74,2404697.39,-0.224189,-0.224189,4,2008,2008-08,0.41663
8,5,2008-10-1,1415234.97,1773807.2,-0.262357,-0.262357,4,2008,2008-10,0.41663
9,5,2008-11-1,1714331.02,2148683.98,0.21134,0.21134,4,2008,2008-11,0.41663
10,5,2008-12-1,1809166.35,2267547.35,0.05531900000000001,0.05531900000000001,4,2008,2008-12,0.41663
11,5,2009-1-1,2006132.05,2514417.42,0.10887100000000001,0.10887100000000001,4,2009,2009-01,0.343688
12,5,2009-2-1,2159327.58,2706427.48,0.076364,0.076364,4,2009,2009-02,0.343688
13,5,2009-3-1,2757519.68,3456181.03,0.277027,0.277027,4,2009,2009-03,0.343688
14,5,2009-4-1,2560553.99,3209310.96,-0.07142899999999999,-0.07142899999999999,4,2009,2009-04,0.343688
15,5,2009-5-1,2961780.4,3712194.44,0.156695,0.156695,4,2009,2009-05,0.343688
16,5,2009-6-1,3056615.73,3831057.81,0.03202,0.03202,4,2009,2009-06,0.343688
17,5,2009-7-1,3538087.43,4434517.99,0.15751800000000002,0.15751800000000002,4,2009,2009-07,0.343688
18,5,2009-8-1,3371711.7,3373891.01,-0.239175,-0.239175,4,2009,2009-08,0.343688
19,5,2009-9-1,3728071.47,3730481.12,0.10569100000000001,0.10569100000000001,4,2009,2009-09,0.343688
20,5,2009-10-1,4157530.68,4160217.91,0.115196,0.115196,4,2009,2009-10,0.343688
21,5,2009-11-1,5756580.94,5760301.72,0.384615,0.384615,4,2009,2009-11,0.343688
22,5,2009-12-1,5500732.9,5504288.31,-0.044444,-0.044444,4,2009,2009-12,0.343688
23,5,2015-5-1,14455414.37,14464757.66,2.858537,2.858537,4,2015,2015-05,0.15983599999999998
24,5,2015-6-1,8388160.8,8393582.51,-0.41972200000000004,-0.41972200000000004,4,2015,2015-06,0.15983599999999998
25,5,2015-7-1,6926171.99,6930648.74,-0.174292,-0.174292,4,2015,2015-07,0.15983599999999998
26,5,2015-8-1,5372808.88,5376281.61,-0.22427399999999997,-0.22427399999999997,4,2015,2015-08,0.15983599999999998
27,5,2015-9-1,5646931.78,5650581.69,0.051019999999999996,0.051019999999999996,4,2015,2015-09,0.15983599999999998
28,5,2015-10-1,9329316.1,9335346.13,0.652104,0.652104,4,2015,2015-10,0.15983599999999998
29,5,2015-11-1,8516084.83,8521589.22,-0.08716900000000001,-0.08716900000000001,4,2015,2015-11,0.15983599999999998
30,5,2015-12-1,9173979.79,10627709.89,0.077253,0.077253,4,2015,2015-12,0.15983599999999998
31,11,2006-6-1,479804.33,2521784.28,0.0057469999999999995,0.0057469999999999995,4,2006,2006-06,0.603158
32,11,2006-7-1,465181.72,2444929.9,-0.030476,-0.030476,4,2006,2006-07,0.603158
33,11,2006-8-1,492599.11,2589031.86,0.058939,0.058939,4,2006,2006-08,0.603158
34,11,2006-9-1,543778.24,2858022.18,0.103896,0.103896,4,2006,2006-09,0.603158
35,11,2006-10-1,484373.89,2545801.27,-0.10924400000000001,-0.10924400000000001,4,2006,2006-10,0.603158
36,11,2006-11-1,500824.32,2632262.45,0.033962,0.033962,4,2006,2006-11,0.603158
