,Stkcd,Trdmnt,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype,Trdmnt_year,Trdmnt_mon,bemeA
0,5,2005-7-1,474916.01,899999.87,0.007937,0.007937,4,2005,2005-07,1.9856919999999998
1,5,2005-8-1,542226.94,1027558.91,0.141732,0.141732,4,2005,2005-08,1.9856919999999998
2,5,2005-9-1,575882.41,1091338.43,0.062069000000000006,0.062069000000000006,4,2005,2005-09,1.9856919999999998
3,5,2005-10-1,538487.45,1020472.3,-0.064935,-0.064935,4,2005,2005-10,1.9856919999999998
4,5,2005-11-1,575882.41,1091338.43,0.069444,0.069444,4,2005,2005-11,1.9856919999999998
5,5,2005-12-1,613277.37,1162204.56,0.064935,0.064935,4,2005,2005-12,1.9856919999999998
6,22,2016-1-1,5894513.55,5899979.82,-0.343005,-0.343005,4,2016,2016-01,0.724597
7,22,2016-2-1,7061329.71,7067878.03,0.19795,0.19795,4,2016,2016-02,0.724597
8,22,2016-3-1,7986415.04,7993821.24,0.13100699999999998,0.13100699999999998,4,2016,2016-03,0.724597
9,22,2016-4-1,7502953.36,7509911.22,-0.060536,-0.060536,4,2016,2016-04,0.724597
10,22,2016-5-1,7237979.17,7244691.31,-0.035316,-0.035316,4,2016,2016-05,0.724597
11,22,2016-6-1,7326288.95,7331097.32,0.012203,0.012203,4,2016,2016-06,0.724597
12,22,2016-7-1,7423910.82,7428783.27,0.039405,0.03934,4,2016,2016-07,0.724597
13,22,2016-8-1,7674938.49,7679975.69,0.033813,0.033813,4,2016,2016-08,0.724597
14,22,2016-9-1,7786506.34,7791616.76,0.014537000000000001,0.014537000000000001,4,2016,2016-09,0.724597
15,22,2016-10-1,7874830.89,7879999.28,0.011343,0.011343,4,2016,2016-10,0.724597
16,22,2016-11-1,9780781.69,9787201.0,0.242031,0.242031,4,2016,2016-11,0.724597
17,22,2016-12-1,8846400.93,8852206.98,-0.095532,-0.095532,4,2016,2016-12,0.724597
18,26,2013-1-1,1113657.93,2339621.43,-0.062344000000000004,-0.062344000000000004,4,2013,2013-01,1.371365
19,26,2013-2-1,1092924.94,2296064.65,-0.018616999999999998,-0.018616999999999998,4,2013,2013-02,1.371365
20,26,2013-3-1,1020359.46,2143615.91,-0.06639600000000001,-0.06639600000000001,4,2013,2013-03,1.371365
21,26,2013-4-1,1047016.17,2199617.49,0.026125,0.026125,4,2013,2013-04,1.371365
22,26,2013-5-1,1282483.73,2694298.08,0.224894,0.224894,4,2013,2013-05,1.371365
23,26,2013-6-1,959641.41,2016056.76,-0.251732,-0.251732,4,2013,2013-06,1.371365
24,26,2013-7-1,958160.48,2012945.57,-0.0015429999999999999,-0.0015429999999999999,4,2013,2013-07,1.371365
25,26,2013-8-1,1088482.15,2286731.05,0.15208,0.15146800000000002,4,2013,2013-08,1.371365
26,26,2013-9-1,1069230.09,2246285.47,-0.017687,-0.017687,4,2013,2013-09,1.371365
27,26,2013-10-1,1134390.92,2383178.21,0.060941999999999996,0.060941999999999996,4,2013,2013-10,1.371365
28,26,2013-11-1,1156604.85,2429846.19,0.019582,0.019582,4,2013,2013-11,1.371365
29,26,2013-12-1,2329915.33,2330287.83,-0.040973,-0.040973,4,2013,2013-12,1.371365
30,26,2014-1-1,2074837.81,2075169.54,-0.10947899999999999,-0.10947899999999999,4,2014,2014-01,1.2553729999999999
31,26,2014-2-1,2233483.58,2233840.67,0.076462,0.076462,4,2014,2014-02,1.2553729999999999
32,26,2014-3-1,2133941.14,2134282.32,-0.044568,-0.044568,4,2014,2014-03,1.2553729999999999
33,26,2014-4-1,2174380.26,2174727.9,0.01895,0.01895,4,2014,2014-04,1.2553729999999999
34,26,2014-5-1,2392129.35,2392511.81,0.100143,0.100143,4,2014,2014-05,1.2553729999999999
35,26,2014-6-1,2544553.72,2544960.54,0.06371900000000001,0.06371900000000001,4,2014,2014-06,1.2553729999999999
36,26,2014-7-1,2746749.31,2747188.46,0.091687,0.091687,4,2014,2014-07,1.2553729999999999
37,26,2014-8-1,2678313.88,2678742.09,-0.024915,-0.024915,4,2014,2014-08,1.2553729999999999
38,26,2014-9-1,3350225.38,3350761.01,0.250871,0.250871,4,2014,2014-09,1.2553729999999999
