,Stkcd,Trdmnt,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype,Trdmnt_year,Trdmnt_mon,bemeA
0,6,2006-1-1,1058441.5,1417577.22,0.57096,0.57096,4,2006,2006-01,1.190394
1,6,2006-2-1,1170155.36,1567196.28,0.105546,0.105546,4,2006,2006-02,1.190394
2,6,2006-3-1,1221278.66,1635666.02,0.043689,0.043689,4,2006,2006-03,1.190394
3,6,2006-4-1,1348140.16,1805572.41,0.103876,0.103876,4,2006,2006-04,1.190394
4,6,2006-5-1,1510977.31,2023661.22,0.12078699999999999,0.12078699999999999,4,2006,2006-05,1.190394
5,6,2006-6-1,1503403.49,2013517.55,0.020248,0.017544,4,2006,2006-06,1.190394
6,6,2006-7-1,1624584.63,2175816.19,0.080605,0.080605,4,2006,2006-07,1.190394
7,6,2006-8-1,1774167.6,2376153.58,0.092075,0.092075,4,2006,2006-08,1.190394
8,6,2006-9-1,1630265.0,2183423.94,-0.08111,-0.08111,4,2006,2006-09,1.190394
9,6,2006-10-1,1704109.75,2282324.68,0.045295999999999996,0.045295999999999996,4,2006,2006-10,1.190394
10,6,2006-11-1,2385753.65,3195254.55,0.4,0.4,4,2006,2006-11,1.190394
11,6,2006-12-1,2539123.53,3400663.77,0.064286,0.064286,4,2006,2006-12,1.190394
12,6,2007-1-1,2607932.54,3025348.16,-0.110365,-0.110365,4,2007,2007-01,0.513085
13,6,2007-2-1,2819977.35,3271332.04,0.081308,0.081308,4,2007,2007-02,0.513085
14,6,2007-3-1,3112905.22,3611144.83,0.103876,0.103876,4,2007,2007-03,0.513085
15,6,2007-4-1,4422336.57,5130158.7,0.420646,0.420646,4,2007,2007-04,0.513085
16,6,2007-5-1,5810464.95,6740465.55,0.330402,0.331191,4,2007,2007-05,0.513085
17,6,2007-6-1,5443212.09,6314431.61,-0.063205,-0.063205,4,2007,2007-06,0.513085
18,6,2007-7-1,6995292.64,8114932.19,0.285141,0.285141,4,2007,2007-07,0.513085
19,6,2007-8-1,6787619.89,7874020.14,-0.029688,-0.029688,4,2007,2007-08,0.513085
20,6,2007-9-1,7760402.77,9002502.9,0.143317,0.143317,4,2007,2007-09,0.513085
21,6,2007-10-1,8164818.13,9471647.42,0.052113,0.052113,4,2007,2007-10,0.513085
22,6,2007-11-1,5884789.93,6826686.71,-0.27925,-0.27925,4,2007,2007-11,0.513085
23,6,2007-12-1,5716465.7,6631421.15,-0.028602999999999996,-0.028602999999999996,4,2007,2007-12,0.513085
24,8,2018-1-1,16644355.24,23335770.82,-0.053714,-0.053714,4,2018,2018-01,0.693275
25,8,2018-2-1,19276498.09,21306573.36,-0.086957,-0.086957,4,2018,2018-02,0.693275
26,8,2018-3-1,17486723.86,19277375.89,-0.095238,-0.095238,4,2018,2018-03,0.693275
27,8,2018-4-1,15364796.84,16938162.15,-0.12134500000000001,-0.12134500000000001,4,2018,2018-04,0.693275
28,8,2018-5-1,14265485.25,15726280.33,-0.071547,-0.071547,4,2018,2018-05,0.693275
29,8,2018-6-1,12808258.27,14119832.34,-0.102151,-0.102151,4,2018,2018-06,0.693275
30,8,2018-8-1,9905519.99,10991486.26,-0.21283000000000002,-0.211577,4,2018,2018-08,0.693275
31,8,2018-9-1,11175458.45,12400651.16,0.12820499999999999,0.12820499999999999,4,2018,2018-09,0.693275
32,8,2018-10-1,11215469.55,12428834.46,0.002273,0.002273,4,2018,2018-10,0.693275
33,8,2018-11-1,9562395.81,10596920.08,-0.147392,-0.147392,4,2018,2018-11,0.693275
34,8,2018-12-1,9893010.56,10963302.96,0.034574,0.034574,4,2018,2018-12,0.693275
35,21,2008-1-1,6228621.32,14899043.75,0.008934000000000001,0.008934000000000001,4,2008,2008-01,0.761202
36,21,2008-2-1,6320543.12,15118923.38,0.014758000000000002,0.014758000000000002,4,2008,2008-02,0.761202
37,21,2008-3-1,4875532.39,11662415.59,-0.228621,-0.228621,4,2008,2008-03,0.761202
38,21,2008-4-1,4092358.64,9789041.14,-0.160633,-0.160633,4,2008,2008-04,0.761202
39,21,2008-5-1,3763881.51,8979884.1,-0.082659,-0.082659,4,2008,2008-05,0.761202
40,21,2008-6-1,2466245.57,5883978.91,-0.31111500000000003,-0.305583,4,2008,2008-06,0.761202
41,21,2008-7-1,2764849.3,6596388.91,0.121076,0.121076,4,2008,2008-07,0.761202
42,21,2008-8-1,1957513.3,4670243.35,-0.292,-0.292,4,2008,2008-08,0.761202
43,21,2008-9-1,1846919.33,4406387.79,-0.056497000000000006,-0.056497000000000006,4,2008,2008-09,0.761202
44,21,2008-10-1,1363992.32,3254218.53,-0.261477,-0.261477,4,2008,2008-10,0.761202
45,21,2008-11-1,1544629.14,3685182.6,0.132432,0.132432,4,2008,2008-11,0.761202
46,21,2008-12-1,1526198.37,3641206.68,-0.011933,-0.011933,4,2008,2008-12,0.761202
47,21,2016-1-1,11670326.03,11681799.34,-0.341625,-0.341625,4,2016,2016-01,0.646516
48,21,2016-2-1,11464552.02,11475823.03,-0.017632,-0.017632,4,2016,2016-02,0.646516
49,21,2016-3-1,13566386.56,13579723.92,0.183333,0.183333,4,2016,2016-03,0.646516
50,21,2016-4-1,13257725.55,13270759.45,-0.022752,-0.022752,4,2016,2016-04,0.646516
51,21,2016-5-1,12596309.08,12608692.74,-0.049888999999999996,-0.049888999999999996,4,2016,2016-05,0.646516
52,21,2016-6-1,16182656.13,16198565.59,0.2922,0.29054800000000003,4,2016,2016-06,0.646516
53,21,2016-7-1,16829374.44,16845919.71,0.039964,0.039964,4,2016,2016-07,0.646516
54,21,2016-8-1,16153259.84,16169140.4,-0.040175,-0.040175,4,2016,2016-08,0.646516
55,21,2016-9-1,15344861.94,15359947.75,-0.050046,-0.050045,4,2016,2016-09,0.646516
56,21,2016-10-1,15447748.94,15462935.91,0.006705,0.006705,4,2016,2016-10,0.646516
57,21,2016-11-1,16006278.4,16022014.46,0.036156,0.036156,4,2016,2016-11,0.646516
58,21,2016-12-1,13860349.43,13873975.79,-0.134068,-0.134068,4,2016,2016-12,0.646516
59,22,2008-1-1,2545601.29,10087642.11,-0.186047,-0.186047,4,2008,2008-01,0.656569
60,22,2008-2-1,2676987.16,10608294.61,0.051613,0.051613,4,2008,2008-02,0.656569
61,22,2008-3-1,1982518.97,7856274.27,-0.259422,-0.259422,4,2008,2008-03,0.656569
62,22,2008-4-1,2153789.84,8534981.99,0.086391,0.086391,4,2008,2008-04,0.656569
63,22,2008-5-1,1898056.63,7521569.09,-0.118736,-0.118736,4,2008,2008-05,0.656569
64,22,2008-6-1,1953676.0,6461669.37,-0.140915,-0.140915,4,2008,2008-06,0.656569
