,Stkcd,Trdmnt,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype,Trdmnt_year,Trdmnt_mon,bemeA
0,2,2005-7-1,9084677.73,10994202.89,0.22293000000000002,0.22293000000000002,4,2005,2005-07,1.720346
1,2,2005-8-1,8658833.46,10478849.62,-0.046875,-0.046875,4,2005,2005-08,1.720346
2,2,2005-9-1,8493401.65,10278608.77,-0.019126,-0.019126,4,2005,2005-09,1.720346
3,2,2005-10-1,9084864.17,10994389.32,0.069638,0.069638,4,2005,2005-10,1.720346
4,2,2005-11-1,9345107.67,11309332.77,0.028645999999999998,0.028645999999999998,4,2005,2005-11,1.720346
5,2,2005-12-1,11520379.73,13674033.12,0.091139,0.091139,4,2005,2005-12,1.720346
6,2,2006-1-1,13188252.85,15651712.52,0.143852,0.143852,4,2006,2006-01,1.245953
7,2,2006-2-1,14606056.9,17334350.99,0.10750499999999999,0.10750499999999999,4,2006,2006-02,1.245953
8,2,2006-3-1,18925432.9,22198386.42,0.19963399999999998,0.19963399999999998,4,2006,2006-03,1.245953
9,2,2006-4-1,18000831.59,21113885.1,-0.048855,-0.048855,4,2006,2006-04,1.245953
10,2,2006-5-1,17249593.04,20232727.78,-0.041734,-0.041734,4,2006,2006-05,1.245953
11,2,2006-6-1,16511068.89,19334303.61,-0.053600999999999996,-0.053600999999999996,4,2006,2006-06,1.245953
12,2,2006-7-1,16189614.45,18957883.54,0.004882,0.0070799999999999995,4,2006,2006-07,1.245953
13,2,2006-8-1,20163960.24,23611804.41,0.24548699999999998,0.24548699999999998,4,2006,2006-08,1.245953
14,2,2006-9-1,22121789.24,25904544.84,0.09710099999999999,0.09710099999999999,4,2006,2006-09,1.245953
15,2,2006-10-1,23933613.45,28026185.23,0.081902,0.081902,4,2006,2006-10,1.245953
16,2,2006-11-1,35009119.56,40995567.66,0.46275900000000003,0.46275900000000003,4,2006,2006-11,1.245953
17,2,2006-12-1,50245691.29,59011689.87,0.288815,0.288815,4,2006,2006-12,1.245953
18,2,2008-1-1,153263245.8,157606647.7,-0.096741,-0.096741,4,2008,2008-01,1.125391
19,2,2008-2-1,136789653.1,140666201.8,-0.10748599999999998,-0.10748599999999998,4,2008,2008-02,1.125391
20,2,2008-3-1,150615704.1,154884076.0,0.101075,0.101075,4,2008,2008-03,1.125391
21,2,2008-4-1,143379090.2,147442380.2,-0.048047,-0.048047,4,2008,2008-04,1.125391
22,2,2008-5-1,116197662.3,119490644.6,-0.189577,-0.189577,4,2008,2008-05,1.125391
23,2,2008-6-1,84818863.42,87219095.3,-0.26577199999999995,-0.265013,4,2008,2008-06,1.125391
24,2,2008-7-1,80017795.68,82282165.38,-0.056603999999999995,-0.056603999999999995,4,2008,2008-07,1.125391
25,2,2008-8-1,66650116.87,68536203.63,-0.16705899999999999,-0.16705899999999999,4,2008,2008-08,1.125391
26,2,2008-9-1,61472494.8,63212063.52,-0.077684,-0.077684,4,2008,2008-09,1.125391
27,2,2008-10-1,55353486.89,56919897.93,-0.09954099999999999,-0.09954099999999999,4,2008,2008-10,1.125391
28,2,2008-11-1,64202513.71,66019337.4,0.159864,0.159864,4,2008,2008-11,1.125391
29,2,2008-12-1,60566903.86,62437643.14,-0.054252,-0.054252,4,2008,2008-12,1.125391
30,2,2009-1-1,66107132.27,68148993.44,0.091473,0.091473,4,2009,2009-01,0.9128629999999999
31,2,2009-2-1,67140056.21,69213821.46,0.015625,0.015625,4,2009,2009-02,0.9128629999999999
32,2,2009-3-1,77751002.16,80152509.33,0.15804200000000002,0.15804200000000002,4,2009,2009-03,0.9128629999999999
33,2,2009-4-1,79629045.69,82088560.28,0.024155000000000003,0.024155000000000003,4,2009,2009-04,0.9128629999999999
34,2,2009-5-1,91460719.93,94285681.27,0.148585,0.148585,4,2009,2009-05,0.9128629999999999
35,2,2009-6-1,119749210.1,123423248.1,0.314909,0.314168,4,2009,2009-06,0.9128629999999999
36,2,2009-7-1,125478388.0,129328203.5,0.047843000000000004,0.047843000000000004,4,2009,2009-07,0.9128629999999999
37,2,2009-8-1,88285692.15,90994394.65,-0.29640700000000003,-0.29640700000000003,4,2009,2009-08,0.9128629999999999
38,2,2009-9-1,97865628.96,100868254.5,0.108511,0.108511,4,2009,2009-09,0.9128629999999999
39,2,2009-10-1,108103012.4,111419732.2,0.10460699999999999,0.10460699999999999,4,2009,2009-10,0.9128629999999999
