股票代码_StkCd,日期_Date,风险因子_流通市值加权_持有期收益_Beta_TMV_H,
600796,2017-06-30,2.1287
600796,2017-07-31,2.1606
600796,2017-08-31,1.7809
600796,2017-09-29,2.5856
600796,2017-10-31,2.3440
600796,2017-11-30,1.3962
600796,2017-12-29,2.6947
600796,2018-01-31,1.5689
600796,2018-02-28,1.0350
600796,2018-03-30,0.5829
600796,2018-04-27,0.5119
600796,2018-10-31,0.6137
600796,2018-11-30,0.5477
600796,2018-12-28,0.4327
600797,2005-01-31,1.5109
600797,2005-02-28,1.1778
600797,2005-03-31,1.2454
600797,2005-04-29,1.5412
600797,2005-05-31,1.4642
600797,2005-06-30,1.5513
600797,2005-07-29,1.6074
600797,2005-08-31,1.5846
600797,2005-09-30,1.3748
600797,2005-10-31,1.7828
600797,2005-11-30,1.8479
600797,2005-12-30,1.7415
600797,2006-01-25,1.8797
600797,2006-02-28,1.8015
600797,2006-03-31,2.1545
600797,2006-04-28,1.9401
600797,2006-05-31,1.8819
600797,2006-06-30,1.8822
600797,2006-07-31,1.2945
600797,2006-08-31,1.2340
600797,2006-09-29,1.1814
600797,2006-10-31,0.6140
600797,2006-11-30,0.7218
600797,2006-12-29,1.0425
600797,2007-01-31,0.8974
600797,2007-02-28,0.8912
600797,2007-03-30,0.7498
600797,2007-04-30,0.4192
600797,2007-05-31,0.4082
600797,2007-06-29,0.7990
600797,2007-07-31,1.0838
600797,2007-08-31,1.0799
600797,2007-09-28,1.0992
600797,2007-10-31,1.1755
600797,2007-11-30,0.8894
600797,2007-12-28,0.8734
600797,2008-01-31,0.8139
600797,2008-02-29,0.7557
600797,2008-03-26,0.7687
600797,2008-04-30,0.8929
600797,2008-05-30,0.8236
600797,2008-06-30,0.9021
600797,2008-07-31,0.8740
600797,2008-08-29,1.1736
600797,2008-09-26,1.2684
600797,2008-10-31,1.2787
600797,2008-11-28,1.3676
600797,2008-12-31,1.1907
600797,2009-01-23,1.2594
600797,2009-02-27,1.1666
600797,2009-03-31,1.1671
600797,2009-04-30,1.2839
600797,2009-05-27,1.3293
600797,2009-06-30,1.2066
600797,2009-07-31,1.1754
600797,2009-08-31,1.0262
600797,2009-09-30,1.0195
600797,2009-10-30,1.0044
600797,2009-11-30,0.9694
600797,2009-12-31,0.9508
600797,2010-01-29,0.8073
600797,2010-02-26,0.8107
600797,2010-03-30,0.8488
600797,2010-04-30,0.9199
600797,2010-05-31,0.9673
600797,2010-06-30,1.1269
600797,2010-07-30,1.1748
600797,2010-08-31,1.1790
600797,2010-09-30,1.1806
600797,2010-10-29,1.0788
600797,2010-11-30,0.7788
600797,2010-12-31,0.8468
600797,2011-01-31,1.0096
600797,2011-02-28,1.0687
600797,2011-03-31,0.9612
600797,2011-04-29,0.8482
600797,2011-05-31,0.6511
600797,2011-06-30,0.5505
600797,2011-07-29,0.5923
600797,2011-08-31,0.7044
600797,2011-09-30,0.8436
600797,2011-10-31,1.1147
600797,2011-11-30,1.3714
600797,2011-12-30,1.4714
600797,2012-01-31,1.3733
600797,2012-02-29,1.2532
600797,2012-03-30,1.3359
600797,2012-04-27,1.3640
600797,2012-05-31,1.5144
600797,2012-06-29,1.5117
600797,2012-07-31,1.5853
600797,2012-08-31,1.5679
600797,2012-09-28,1.6149
600797,2012-10-31,1.5552
600797,2012-11-30,1.6341
600797,2012-12-31,1.5028
600797,2013-01-31,1.4954
