,StkCd,Date-year,Date-month,Msmvosd,Msmvttl,Mretwd,Mretnd,bemeA,Beta
0,37,2010,1,2334987.63,2335077.15,-0.048343,-0.048343,2.123399,1.2383
1,37,2010,2,2856886.17,2856995.7,0.223512,0.223512,2.123399,1.2343
2,37,2010,3,2741661.82,2741766.93,-0.040332,-0.040332,2.123399,1.2483
3,37,2010,4,2104538.92,2104619.61,-0.232386,-0.232386,2.123399,1.4129
4,37,2010,5,1816478.04,1816547.68,-0.136876,-0.136876,2.123399,1.4302
5,37,2010,6,1660586.27,1660649.94,-0.08582100000000001,-0.08582100000000001,2.123399,1.4359
6,37,2010,7,2023204.09,2023281.66,0.218367,0.218367,2.123399,1.4675
7,37,2010,8,2097761.02,2097841.45,0.036851,0.036851,2.123399,1.6568
8,37,2010,9,2063871.51,2063950.63,-0.016155000000000003,-0.016155000000000003,2.123399,1.6903
9,37,2010,10,2138428.44,2138510.43,0.036125,0.036125,2.123399,1.4984
10,37,2010,11,1863923.36,1863994.83,-0.128368,-0.128368,2.123399,1.3267
11,37,2010,12,1731754.25,1731820.65,-0.070909,-0.070909,2.123399,1.3454
12,37,2011,1,1697864.74,1697929.83,-0.019569,-0.019569,2.366704,1.307
13,37,2011,2,2114705.78,2114786.86,0.245509,0.245509,2.366704,1.3735
14,37,2011,3,1884257.07,1884329.31,-0.108974,-0.108974,2.366704,1.3996
15,37,2011,4,1891034.98,1891107.48,0.003597,0.003597,2.366704,1.2241
16,37,2011,5,1884257.07,1884329.31,-0.003584000000000001,-0.003584000000000001,2.366704,1.0686
17,37,2011,6,1718192.64,1718285.23,-0.088129,-0.088129,2.366704,1.0563
18,37,2011,7,1931695.87,1931799.97,0.12426,0.12426,2.366704,0.8086
19,37,2011,8,1741915.22,1742009.09,-0.098246,-0.098246,2.366704,0.9308
20,37,2011,9,1647024.9,1647113.66,-0.054475,-0.054475,2.366704,0.7896
21,37,2011,10,1582635.04,1582720.32,-0.039095,-0.039095,2.366704,0.9046
22,37,2011,11,1531800.93,1531883.48,-0.03212,-0.03212,2.366704,0.9197
23,37,2011,12,1213240.56,1213305.94,-0.207965,-0.207965,2.366704,1.1554
24,37,2012,1,1297964.07,1298034.01,0.069832,0.069832,2.729611,1.225
25,37,2012,2,1504689.41,1504770.5,0.159269,0.159269,2.729611,0.9708
26,37,2012,3,1382687.57,1382762.08,-0.081081,-0.081081,2.729611,0.9805
27,37,2012,4,1541967.75,1542050.85,0.115196,0.115196,2.729611,1.0590000000000002
28,37,2012,5,1433521.67,1433598.92,-0.07032999999999999,-0.07032999999999999,2.729611,1.0623
29,37,2012,6,1491133.65,1491214.01,0.040189,0.040189,2.729611,1.129
30,37,2012,7,1399632.27,1399707.7,-0.061364,-0.061364,2.729611,1.0624
31,37,2012,8,1470800.01,1470879.27,0.050847,0.050847,2.729611,1.0522
32,37,2012,9,1464022.13,1464101.03,-0.004608,-0.004608,2.729611,1.1385
33,37,2012,10,1457244.25,1457322.78,-0.00463,-0.00463,2.729611,1.219
34,37,2012,11,1314908.77,1314979.63,-0.097674,-0.097674,2.729611,1.1998
35,37,2012,12,1426743.79,1426820.68,0.085052,0.085052,2.729611,0.7685
36,37,2013,1,1582635.04,1582720.32,0.109264,0.109264,3.112698,0.815
37,37,2013,2,1518245.17,1518326.99,-0.040685,-0.040685,3.112698,0.6853
38,37,2013,3,1433521.67,1433598.92,-0.055804,-0.055804,3.112698,0.6624
39,37,2013,4,1352187.11,1352259.98,-0.056738,-0.056738,3.112698,0.5954
40,37,2013,5,1508078.35,1508159.62,0.11528800000000003,0.11528800000000003,3.112698,0.6938
41,37,2013,6,1233574.2,1233640.68,-0.182022,-0.182022,3.112698,0.8732
42,37,2013,7,1250518.9,1250586.29,0.013736000000000002,0.013736000000000002,3.112698,0.8725
43,37,2013,8,1379298.63,1379372.96,0.102981,0.102981,3.112698,0.9404
44,37,2013,9,1369131.81,1369205.59,-0.007370999999999998,-0.007370999999999998,3.112698,0.9194
45,37,2013,10,1352187.11,1352259.98,-0.012376,-0.012376,3.112698,0.9024
46,37,2013,11,1399632.27,1399707.7,0.035088,0.035088,3.112698,0.9324
47,56,2014,1,2266238.98,2272710.57,-0.030102,-0.030102,3.432374,0.953
48,56,2014,2,2080266.71,2086207.23,-0.082062,-0.082062,3.432374,0.9767
49,56,2014,3,2145833.86,2151961.61,0.031519,0.031519,3.432374,1.0699
50,56,2014,4,1783426.36,1788519.21,-0.168889,-0.168889,3.432374,1.2109999999999999
51,56,2014,5,1664213.37,1668965.79,-0.066845,-0.066845,3.432374,0.8089
52,56,2014,6,1581956.4,1586473.92,-0.049427,-0.049427,3.432374,1.7009
53,56,2014,7,1611759.65,1616362.28,0.01884,0.018839,3.432374,1.7078
54,56,2014,8,1932681.02,1938200.09,0.199112,0.199112,3.432374,1.9518
55,56,2014,9,2414778.36,2421674.13,0.249445,0.249445,3.432374,2.2987
56,56,2014,10,2437667.25,2444628.38,0.009479,0.009479,3.432374,1.88
57,56,2014,11,2414778.36,2421674.13,-0.00939,-0.00939,3.432374,1.7774
58,56,2014,12,1987042.15,1992716.45,-0.17713299999999998,-0.17713299999999998,3.432374,1.9939
59,56,2015,1,2098625.51,2104618.45,0.056156,0.056156,1.406969,1.9345
60,56,2015,2,2194472.75,2200739.4,0.045671,0.045671,1.406969,1.7462
61,56,2015,3,2825347.9,2833416.11,0.287484,0.287484,1.406969,2.0779
62,56,2015,4,3172972.99,3182033.89,0.123038,0.123038,1.406969,1.7012
63,56,2015,5,4549167.76,4562158.6,0.433724,0.433724,1.406969,1.8936
64,56,2015,6,4268778.81,4280968.95,-0.061635,-0.061635,1.406969,1.4091
65,56,2015,7,3059959.07,3068697.25,-0.283177,-0.283177,1.406969,1.4633
66,56,2015,8,3047084.07,3055785.48,-0.004208,-0.004208,1.406969,1.1832
67,56,2015,9,3318889.69,10492782.81,0.089202,0.089202,1.406969,1.0843
68,56,2015,10,3517736.96,11121445.23,0.059914,0.059914,1.406969,0.9676
69,56,2015,11,3862500.93,12211428.27,0.098007,0.098007,1.406969,0.9719
70,56,2015,12,4839570.61,15300467.34,0.252963,0.252963,1.406969,0.9434
71,65,2013,1,2095438.85,2095438.85,0.342352,0.342352,2.301054,1.2208
72,65,2013,2,2400820.63,2400820.63,0.14573599999999998,0.14573599999999998,2.301054,1.2807
73,65,2013,3,2067824.54,2067824.54,-0.138701,-0.138701,2.301054,1.2775
74,65,2013,4,1796554.55,1796554.55,-0.131186,-0.131186,2.301054,1.3405
75,65,2013,5,2071073.28,2071073.28,0.152803,0.152803,2.301054,1.3030000000000002
76,65,2013,6,1524634.81,1524634.81,-0.26002600000000003,-0.259137,2.301054,1.4125
77,65,2013,7,1740026.43,1740026.43,0.141274,0.141274,2.301054,1.4235
78,65,2013,8,2033550.31,2033550.31,0.168689,0.168689,2.301054,1.4911
79,65,2013,9,2162362.94,2162362.94,0.06334400000000001,0.06334400000000001,2.301054,1.4803
80,65,2013,10,2003986.75,2003986.75,-0.073242,-0.073242,2.301054,1.4898
81,65,2013,11,2407318.12,2407318.12,0.201264,0.201264,2.301054,1.5543
82,65,2013,12,2831766.31,2831766.31,0.176316,0.176316,2.301054,1.8821
83,66,2008,1,3045885.72,5841181.71,0.042553,0.042553,1.398062,1.2162
84,66,2008,2,3165425.98,6070427.46,0.039246,0.039246,1.398062,1.2244
85,66,2008,3,2252138.42,4318989.93,-0.28852,-0.28852,1.398062,1.2604
86,66,2008,4,1972414.22,3782554.88,-0.124204,-0.124204,1.398062,1.0274
87,66,2008,5,1876782.02,3599158.28,-0.048485,-0.048485,1.398062,1.0656
88,66,2008,6,1288650.11,2470352.2,-0.310707,-0.310701,1.398062,1.0491
89,66,2008,7,1409191.99,2701431.92,0.093541,0.093541,1.398062,0.9627
90,66,2008,8,1116447.42,2140238.32,-0.207739,-0.207739,1.398062,0.9268
91,66,2008,9,1010255.76,1936668.1,-0.095116,-0.095116,1.398062,0.9971
92,66,2008,10,757691.82,1452501.07,-0.25,-0.25,1.398062,1.011
93,66,2008,11,863883.48,1656071.3,0.140152,0.140152,1.398062,1.0287
94,66,2008,12,949984.82,1821128.24,0.099668,0.099668,1.398062,1.1016
95,151,2006,1,411600.0,1160241.6,0.098039,0.098039,2.198249,1.399
96,151,2006,2,400050.0,1127683.8,-0.028061000000000003,-0.028061000000000003,2.198249,1.3559999999999999
97,151,2006,3,396606.0,840583.2,-0.00861,-0.008609,2.198249,1.1678
98,151,2006,4,393813.0,834663.6,-0.007042000000000001,-0.007042000000000001,2.198249,0.7879
99,151,2006,5,526480.5,1115844.6,0.336879,0.336879,2.198249,1.5474
100,151,2006,6,513912.0,1089206.4,0.007956999999999999,0.007958,2.198249,1.5843
101,151,2006,7,495757.5,1050729.0,-0.035326,-0.035326,2.198249,1.3572
102,151,2006,8,518101.5,1098085.8,0.04507,0.04507,2.198249,1.2832
103,151,2006,9,536256.0,1136563.2,0.035039999999999995,0.035039999999999995,2.198249,1.3717
104,151,2006,10,516705.0,1095126.0,-0.036458,-0.036458,2.198249,1.5908
105,151,2006,11,508326.0,1077367.2,-0.016216,-0.016216,2.198249,1.4303
106,155,2010,1,3882200.0,3882200.0,-0.078125,-0.078125,1.250695,0.9540000000000001
107,155,2010,2,3905700.0,3905700.0,0.006053,0.006053,1.250695,0.9634
108,155,2010,3,4136000.0,4136000.0,0.058965,0.058965,1.250695,1.0017
109,155,2010,4,3402800.0,3402800.0,-0.177273,-0.177273,1.250695,1.062
110,155,2010,5,2993900.0,2993900.0,-0.113345,-0.11326,1.250695,1.0563
111,155,2010,6,2589700.0,2589700.0,-0.135008,-0.135008,1.250695,1.1009
112,155,2010,7,2909300.0,2909300.0,0.123412,0.123412,1.250695,1.1141
113,155,2010,8,3092600.0,3092600.0,0.06300499999999999,0.06300499999999999,1.250695,1.1176
114,155,2010,9,3078500.0,3078500.0,-0.0045590000000000006,-0.0045590000000000006,1.250695,1.1189
115,155,2010,10,3346400.0,3346400.0,0.087023,0.087023,1.250695,1.0755
116,155,2010,11,3529700.0,3529700.0,0.054775,0.054775,1.250695,1.0897
117,155,2010,12,3280600.0,3280600.0,-0.070573,-0.070573,1.250695,1.0991
118,158,2012,1,2803557.9,2803557.9,-0.022556,-0.022556,2.078558,1.459
119,158,2012,2,3220497.28,3220497.28,0.14871800000000002,0.14871800000000002,2.078558,1.4192
120,158,2012,3,2789180.68,2789180.68,-0.133929,-0.133929,2.078558,1.4524
121,158,2012,4,3127045.35,3127045.35,0.121134,0.121134,2.078558,1.5190000000000001
122,158,2012,5,2990461.76,2990461.76,-0.043678,-0.043678,2.078558,1.4916
123,158,2012,6,2688540.14,2688540.14,-0.100962,-0.100962,2.078558,1.5673
124,158,2012,7,2379429.91,2379429.91,-0.114973,-0.114973,2.078558,1.5511
125,158,2012,8,2350675.47,2350675.47,-0.012085,-0.012085,2.078558,1.5576
126,158,2012,9,2300355.2,2300355.2,-0.021407,-0.021407,2.078558,1.558
127,158,2012,10,2336298.25,2336298.25,0.015625,0.015625,2.078558,1.4876
128,158,2012,11,2206903.27,2206903.27,-0.055385,-0.055385,2.078558,1.2815
129,158,2012,12,2436938.79,2436938.79,0.104235,0.104235,2.078558,0.9993
130,158,2013,1,2580710.99,2580710.99,0.058997,0.058997,2.450853,1.0054
131,158,2013,2,2853878.17,2853878.17,0.10585,0.10585,2.450853,0.9614
132,158,2013,3,3033593.42,3033593.42,0.062972,0.062972,2.450853,0.7957
133,158,2013,4,2774803.46,2774803.46,-0.08530800000000001,-0.08530800000000001,2.450853,0.7433
134,158,2013,5,2947330.1,2947330.1,0.062176,0.062176,2.450853,0.7077
135,158,2013,6,2314732.42,2314732.42,-0.214634,-0.214634,2.450853,0.8485
136,158,2013,7,2415372.96,2415372.96,0.043478,0.043478,2.450853,0.8054
137,158,2013,8,2767614.85,2767614.85,0.145833,0.145833,2.450853,0.8579
138,158,2013,9,3306760.6,3306760.6,0.194805,0.194805,2.450853,0.9223
139,158,2013,10,3472098.63,3472098.63,0.05,0.05,2.450853,0.8854
140,158,2013,11,3558361.95,3558361.95,0.024845,0.024845,2.450853,0.8925
141,158,2013,12,2976084.54,2976084.54,-0.163636,-0.163636,2.450853,1.162
142,403,2006,1,297366.23,620232.63,-0.153179,-0.153179,3.470954,0.2271
143,403,2006,2,278083.09,580012.77,-0.064846,-0.064846,3.470954,0.0707
