,StkCd,Date-year,Date-month,Msmvosd,Msmvttl,Mretwd,Mretnd,bemeA,Beta
0,14,2005,7,244189.9,484092.45,0.022727,0.022727,2.320025,0.9876
1,14,2005,8,264539.05,524433.49,0.083333,0.083333,2.320025,0.9778
2,14,2005,9,291671.26,578221.54,0.10256400000000003,0.10256400000000003,2.320025,1.1822
3,14,2005,10,278105.16,551327.51,-0.046512,-0.046512,2.320025,1.162
4,14,2005,11,277652.96,550431.05,-0.001626,-0.001626,2.320025,1.1142
5,14,2005,12,300263.13,595254.42,0.081433,0.081433,2.320025,1.0484
6,23,2006,1,206936.67,621627.96,0.095355,0.095355,1.845301,1.7706
7,23,2006,2,230494.2,692393.64,0.113839,0.113839,1.845301,1.9521
8,23,2006,3,227485.0,521723.46,-0.012907,-0.012906,1.845301,2.2335
9,23,2006,4,196629.32,450957.78,-0.135638,-0.135638,1.845301,1.4927
10,23,2006,5,236560.2,542536.9,0.203077,0.203077,1.845301,1.5858
11,23,2006,6,234745.16,538374.21,-0.007673,-0.007673,1.845301,1.5698
12,23,2006,7,245635.4,563350.33,0.046392,0.046392,1.845301,1.1666
13,23,2006,8,294641.48,675742.89,0.199507,0.199507,1.845301,0.8529
14,23,2006,9,304926.7,699331.45,0.034908,0.034908,1.845301,0.8641
15,23,2006,10,294036.46,674355.33,-0.035714,-0.035714,1.845301,0.6191
16,23,2006,11,320657.05,735408.07,0.090535,0.090535,1.845301,0.7278
17,23,2006,12,286171.29,656317.02,-0.107547,-0.107547,1.845301,0.5249
18,32,2007,1,548478.43,1133273.02,0.224319,0.224319,1.03243,0.7595
19,32,2007,2,780176.48,1323445.55,0.16780799999999998,0.16780799999999998,1.03243,0.716
20,32,2007,3,902579.54,1531082.9,0.156891,0.156891,1.03243,0.7981
21,32,2007,4,1201151.48,2037562.8,0.330798,0.330798,1.03243,0.968
22,32,2007,5,1148529.61,1948298.14,-0.031937,-0.029524,1.03243,0.966
23,32,2007,6,848813.71,1439877.71,-0.260956,-0.260956,1.03243,1.1739
24,32,2007,7,1084468.19,1839628.13,0.27762800000000004,0.27762800000000004,1.03243,1.3471
25,32,2007,8,1340713.84,2274308.19,0.236287,0.236287,1.03243,1.4146
26,32,2007,9,1326986.4,2251021.76,-0.010239,-0.010239,1.03243,1.4811
27,32,2007,10,1463116.9,2481945.54,0.102586,0.102586,1.03243,1.236
28,32,2007,11,1233182.19,2091897.81,-0.157154,-0.157154,1.03243,1.1418
29,32,2007,12,1515738.77,2571210.2,0.22912800000000005,0.22912800000000005,1.03243,1.1722
30,40,2014,1,1904197.63,1925332.79,-0.016787,-0.016787,2.165218,0.7133
31,40,2014,2,1853109.4,1873677.52,-0.026829,-0.026829,2.165218,0.7251
32,40,2014,3,1932063.94,1953508.39,0.042607,0.042607,2.165218,0.6102
33,40,2014,4,1871686.94,1892461.26,-0.03125,-0.03125,2.165218,0.62
