,StkCd,Date-year,Date-month,Msmvosd,Msmvttl,Mretwd,Mretnd,bemeA,Beta
0,6,2006,1,1058441.5,1417577.22,0.57096,0.57096,1.190394,1.2389
1,6,2006,2,1170155.36,1567196.28,0.105546,0.105546,1.190394,1.5103
2,6,2006,3,1221278.66,1635666.02,0.043689,0.043689,1.190394,1.4606
3,6,2006,4,1348140.16,1805572.41,0.103876,0.103876,1.190394,1.4011
4,6,2006,5,1510977.31,2023661.22,0.120787,0.120787,1.190394,0.9224
5,6,2006,6,1503403.49,2013517.55,0.020248,0.017544,1.190394,0.8855
6,6,2006,7,1624584.63,2175816.19,0.080605,0.080605,1.190394,0.6429
7,6,2006,8,1774167.6,2376153.58,0.092075,0.092075,1.190394,0.6609999999999999
8,6,2006,9,1630265.0,2183423.94,-0.08111,-0.08111,1.190394,0.6114
9,6,2006,10,1704109.75,2282324.68,0.045296,0.045296,1.190394,0.5093
10,6,2006,11,2385753.65,3195254.55,0.4,0.4,1.190394,0.9169
11,6,2006,12,2539123.53,3400663.77,0.064286,0.064286,1.190394,0.7846
12,6,2007,1,2607932.54,3025348.16,-0.110365,-0.110365,0.513085,0.0885
13,6,2007,2,2819977.35,3271332.04,0.081308,0.081308,0.513085,0.1175
14,6,2007,3,3112905.22,3611144.83,0.103876,0.103876,0.513085,0.1109
15,6,2007,4,4422336.57,5130158.7,0.420646,0.420646,0.513085,0.6919
16,6,2007,5,5810464.95,6740465.55,0.330402,0.331191,0.513085,0.8066
17,6,2007,6,5443212.09,6314431.61,-0.063205,-0.063205,0.513085,0.8209
18,6,2007,7,6995292.64,8114932.19,0.285141,0.285141,0.513085,1.0229
19,6,2007,8,6787619.89,7874020.14,-0.029688,-0.029688,0.513085,1.0165
20,6,2007,9,7760402.77,9002502.9,0.143317,0.143317,0.513085,0.8688
21,6,2007,10,8164818.13,9471647.42,0.052113,0.052113,0.513085,0.8073
22,6,2007,11,5884789.93,6826686.71,-0.27925,-0.27925,0.513085,1.0281
23,6,2007,12,5716465.7,6631421.15,-0.028603,-0.028603,0.513085,0.9601
24,8,2018,1,16644355.24,23335770.82,-0.053714,-0.053714,0.693275,1.5572
25,8,2018,2,19276498.09,21306573.36,-0.086957,-0.086957,0.693275,1.7879
26,8,2018,3,17486723.86,19277375.89,-0.095238,-0.095238,0.693275,1.5815
27,8,2018,4,15364796.84,16938162.15,-0.121345,-0.121345,0.693275,1.6784
28,8,2018,5,14265485.25,15726280.33,-0.071547,-0.071547,0.693275,1.5904
29,8,2018,6,12808258.27,14119832.34,-0.102151,-0.102151,0.693275,1.4563
30,8,2018,8,9905519.99,10991486.26,-0.21283,-0.211577,0.693275,1.7053
31,8,2018,9,11175458.45,12400651.16,0.128205,0.128205,0.693275,1.7718
32,8,2018,10,11215469.55,12428834.46,0.002273,0.002273,0.693275,0.7723
33,8,2018,11,9562395.81,10596920.08,-0.147392,-0.147392,0.693275,0.2525
34,8,2018,12,9893010.56,10963302.96,0.034574,0.034574,0.693275,0.1444
35,21,2008,1,6228621.32,14899043.75,0.008934000000000001,0.008934000000000001,0.761202,0.8652
36,21,2008,2,6320543.12,15118923.38,0.014758000000000004,0.014758000000000004,0.761202,0.8482
37,21,2008,3,4875532.39,11662415.59,-0.228621,-0.228621,0.761202,0.8985
38,21,2008,4,4092358.64,9789041.14,-0.160633,-0.160633,0.761202,0.8566
39,21,2008,5,3763881.51,8979884.1,-0.082659,-0.082659,0.761202,0.9308
40,21,2008,6,2466245.57,5883978.91,-0.31111500000000003,-0.305583,0.761202,0.9788
41,21,2008,7,2764849.3,6596388.91,0.121076,0.121076,0.761202,1.0643
42,21,2008,8,1957513.3,4670243.35,-0.292,-0.292,0.761202,1.1335
43,21,2008,9,1846919.33,4406387.79,-0.05649700000000001,-0.05649700000000001,0.761202,1.1687
44,21,2008,10,1363992.32,3254218.53,-0.261477,-0.261477,0.761202,1.1218
45,21,2008,11,1544629.14,3685182.6,0.132432,0.132432,0.761202,1.0727
46,21,2008,12,1526198.37,3641206.68,-0.011933,-0.011933,0.761202,1.0619
47,21,2016,1,11670326.03,11681799.34,-0.341625,-0.341625,0.646516,1.1473
48,21,2016,2,11464552.02,11475823.03,-0.017632,-0.017632,0.646516,1.1581
49,21,2016,3,13566386.56,13579723.92,0.183333,0.183333,0.646516,1.1286
50,21,2016,4,13257725.55,13270759.45,-0.022752,-0.022752,0.646516,1.1213
51,21,2016,5,12596309.08,12608692.74,-0.049889,-0.049889,0.646516,1.3035
52,21,2016,6,16182656.13,16198565.59,0.2922,0.29054800000000003,0.646516,1.4381
53,21,2016,7,16829374.44,16845919.71,0.039964,0.039964,0.646516,1.4363
54,21,2016,8,16153259.84,16169140.4,-0.040175,-0.040175,0.646516,1.3674
55,21,2016,9,15344861.94,15359947.75,-0.050046,-0.050045,0.646516,1.3627
56,21,2016,10,15447748.94,15462935.91,0.006705,0.006705,0.646516,1.2165
57,21,2016,11,16006278.4,16022014.46,0.036156,0.036156,0.646516,1.0661
58,21,2016,12,13860349.43,13873975.79,-0.134068,-0.134068,0.646516,1.2103
59,28,2008,1,2309831.75,4840223.85,-0.077778,-0.077778,0.8229870000000001,1.0188
60,28,2008,2,2576993.02,5400056.97,0.11566300000000003,0.11566300000000003,0.8229870000000001,1.0437
61,28,2008,3,1903524.0,3988810.98,-0.261339,-0.261339,0.8229870000000001,1.1379
62,28,2008,4,1990351.41,4170756.74,0.045614,0.045614,0.8229870000000001,1.3077
63,28,2008,5,2688604.35,4201081.04,0.007271,0.007271,0.8229870000000001,1.446
64,28,2008,6,2440792.96,3813863.13,-0.092171,-0.092171,0.8229870000000001,1.1837
65,28,2008,7,2525884.82,3946823.5,0.034862,0.034862,0.8229870000000001,0.7517
66,28,2008,8,1743636.8,2724521.18,-0.309693,-0.309693,0.8229870000000001,1.0746
67,28,2008,9,1880978.06,2939123.88,0.07876699999999999,0.07876699999999999,0.8229870000000001,1.0515
68,28,2008,10,1694373.09,2647544.13,-0.099206,-0.099206,0.8229870000000001,0.99
69,28,2008,11,1888442.26,2950787.07,0.114537,0.114537,0.8229870000000001,0.9441
70,28,2008,12,2449750.0,3827858.96,0.297233,0.297233,0.8229870000000001,0.9584
71,29,2015,1,5840373.0,5840373.0,-0.046579,-0.046579,0.350715,-0.4725
72,29,2015,2,5697707.4,5697707.4,-0.024427,-0.024427,0.350715,-0.7459
73,29,2015,3,10209507.0,10209507.0,0.791862,0.791862,0.350715,3.233
74,29,2015,4,10646420.4,10646420.4,0.042795,0.042795,0.350715,2.4503
75,29,2015,5,14979888.0,14979888.0,0.407035,0.407035,0.350715,2.1542
76,29,2015,6,12010660.2,12010660.2,-0.198214,-0.198214,0.350715,1.9326
77,29,2015,7,8693685.0,8693685.0,-0.276169,-0.276169,0.350715,1.8426
78,29,2015,8,10307589.6,10307589.6,0.185641,0.185641,0.350715,1.3087
79,29,2015,9,10717753.2,10717753.2,0.039792,0.039792,0.350715,1.3012
80,29,2015,10,12046326.6,12046326.6,0.12396,0.12396,0.350715,1.1802
81,29,2015,11,12251408.4,12251408.4,0.026703,0.026647000000000004,0.350715,1.1633
82,29,2015,12,11520247.2,11520247.2,-0.05968,-0.05968,0.350715,1.1604
83,30,2013,1,1668981.28,2284167.6,0.078731,0.078731,0.942514,0.9915
84,30,2013,2,1712614.78,2343884.4,0.026144,0.026144,0.942514,0.28
85,30,2013,3,1568598.52,10677126.79,-0.099788,-0.099788,0.942514,0.0759
86,30,2013,4,1457612.77,9921669.7,-0.070755,-0.070755,0.942514,0.0343
87,30,2013,5,1470561.11,10009806.36,0.008883,0.008883,0.942514,0.0882
88,30,2013,6,1030317.66,7013159.93,-0.299371,-0.299371,0.942514,0.4674
89,30,2013,7,1087660.29,7403479.42,0.055655,0.055655,0.942514,0.3895
90,30,2013,8,1180148.41,8033026.99,0.085034,0.085034,0.942514,0.4617
91,30,2013,9,1231941.76,8385573.63,0.043887,0.043887,0.942514,0.4779
92,30,2013,10,1111707.2,7567161.79,-0.097598,-0.097598,0.942514,0.5212
93,30,2013,11,1161650.79,7907117.48,0.044925,0.044925,0.942514,1.0490000000000002
94,30,2013,12,1124655.54,7655298.45,-0.031847,-0.031847,0.942514,1.3326
95,30,2014,1,1085810.53,7390888.47,-0.034539999999999994,-0.034539,0.877633,1.2979
96,30,2014,2,1363274.89,9279531.18,0.255537,0.255537,0.877633,1.2672
97,30,2014,3,3404862.35,8410755.54,-0.093623,-0.093623,0.877633,1.2578
98,30,2014,4,3308017.46,8171527.46,-0.028443,-0.028443,0.877633,1.2409
99,30,2014,5,3221366.77,7957481.28,-0.026194,-0.026194,0.877633,1.6251
100,30,2014,6,3203848.39,8121163.65,0.036392,0.036392,0.877633,1.1837
101,30,2014,7,3491946.39,8851438.83,0.089922,0.089922,0.877633,1.2478
102,30,2014,8,3452208.73,8750711.22,-0.01138,-0.01138,0.877633,1.1078
103,30,2014,9,4456465.86,10009806.36,0.143885,0.143885,0.877633,1.2654
104,30,2014,10,4411620.92,9909078.75,-0.010063,-0.010063,0.877633,1.1357
105,30,2014,11,4585395.06,10299398.25,0.03939,0.03939,0.877633,1.1551
106,30,2014,12,4736746.73,10639353.93,0.033007,0.033007,0.877633,1.1261
107,36,2008,1,4777712.23,6990581.57,-0.23399,-0.23399,0.825786,1.0702
108,36,2008,2,4915974.0,7192881.36,0.028939,0.028939,0.825786,1.041
109,36,2008,3,4101765.8,6001560.38,-0.165625,-0.165625,0.825786,0.9209999999999999
110,36,2008,4,3587124.78,5248555.62,-0.125468,-0.125468,0.825786,0.8327
111,36,2008,5,3859192.06,5619438.56,0.070664,0.070664,0.825786,0.7382
112,36,2008,6,2716871.21,3956084.75,-0.29600000000000004,-0.29600000000000004,0.825786,0.7046
113,36,2008,7,2740026.36,3989801.38,0.008523000000000001,0.008523000000000001,0.825786,0.6566
114,36,2008,8,2006779.87,2922108.05,-0.267606,-0.267606,0.825786,0.647
115,36,2008,9,1844693.8,2686091.63,-0.08076900000000001,-0.08076900000000001,0.825786,0.7140000000000001
116,36,2008,10,1312125.3,1910609.11,-0.28870300000000004,-0.28870300000000004,0.825786,0.7699
117,36,2008,11,1566831.97,2281492.06,0.194118,0.194118,0.825786,0.9494
118,36,2008,12,1535958.44,2236536.55,-0.019704,-0.019704,0.825786,1.0641
119,36,2009,1,1690326.12,2461314.09,0.100503,0.100503,0.5753659999999999,1.0437
120,36,2009,2,2006779.87,2922108.05,0.187215,0.187215,0.5753659999999999,1.1115
121,36,2009,3,2315515.23,3371663.14,0.153846,0.153846,0.5753659999999999,1.0887
122,36,2009,4,4529267.48,4529267.48,0.343333,0.343333,0.5753659999999999,1.1633
123,36,2009,5,5563244.17,5563244.17,0.228288,0.228288,0.5753659999999999,1.2263
124,36,2009,6,5552005.3,5552005.3,-0.00202,-0.00202,0.5753659999999999,1.1534
125,36,2009,7,6383682.2,6383682.2,0.149798,0.149798,0.5753659999999999,1.1248
126,36,2009,8,5698110.7,5698110.7,-0.107394,-0.107394,0.5753659999999999,0.9874
127,36,2009,9,5136166.84,5136166.84,-0.098619,-0.098619,0.5753659999999999,0.9591
128,36,2009,10,5900410.49,5900410.49,0.148796,0.148796,0.5753659999999999,0.7421
129,36,2009,11,7900930.62,7900930.62,0.339048,0.339048,0.5753659999999999,0.8174
130,36,2009,12,7350225.64,7350225.64,-0.069701,-0.069701,0.5753659999999999,0.847
131,36,2012,1,2877152.54,2877152.54,0.036437,0.036437,0.898516,0.9861
132,36,2012,2,3326707.63,3326707.63,0.15625,0.15625,0.898516,1.1061
133,36,2012,3,2944585.81,2944585.81,-0.114865,-0.114865,0.898516,1.1385
134,36,2012,4,4473073.09,4473073.09,0.519084,0.519084,0.898516,1.7314
135,36,2012,5,4045995.76,4045995.76,-0.095477,-0.095477,0.898516,1.6385
136,36,2012,6,4416878.71,4416878.71,0.091667,0.091667,0.898516,1.6012
137,36,2012,7,3472813.03,3472813.03,-0.21374,-0.21374,0.898516,1.778
138,36,2012,8,3809979.34,3809979.34,0.097087,0.097087,0.898516,1.7679
139,36,2012,9,3675112.82,3675112.82,-0.035398,-0.035398,0.898516,1.7884
140,36,2012,10,3607679.56,3607679.56,-0.018349,-0.018349,0.898516,1.8579
141,36,2012,11,3203079.98,3203079.98,-0.112149,-0.11215,0.898516,1.7812
142,36,2012,12,3922368.11,3922368.11,0.224561,0.224561,0.898516,1.5619
143,50,2013,1,5254067.25,5254273.13,0.156764,0.156764,1.12768,1.9081
144,50,2013,2,6132616.2,6132856.5,0.167213,0.167213,1.12768,1.5685
145,50,2013,3,6712573.35,6712836.38,0.094569,0.094569,1.12768,1.3165
146,50,2013,4,6683862.6,6684124.5,-0.004277,-0.004277,1.12768,1.4089
147,50,2013,5,10152121.2,10152519.0,0.5189,0.5189,1.12768,1.9158
148,50,2013,6,6735541.95,6735805.88,-0.33389,-0.333145,1.12768,2.0994
149,50,2013,7,6482887.35,6483141.38,-0.037511,-0.037511,1.12768,1.8958
150,50,2013,8,7453310.7,7453602.75,0.14969000000000002,0.14969000000000002,1.12768,2.0607
151,50,2013,11,6695346.9,6695609.25,-0.101695,-0.101695,1.12768,1.9466
152,50,2013,12,6482887.35,6483141.38,-0.031732,-0.031732,1.12768,1.9669
153,55,2016,1,4057071.27,4066461.2,-0.328234,-0.328234,0.509899,1.305
154,55,2016,2,4153668.21,4163281.7,0.02381,0.02381,0.509899,1.3259
155,55,2016,3,5909212.5,5922889.13,0.422649,0.422649,0.509899,1.4917
156,55,2016,4,7118774.12,7135250.24,0.204691,0.204691,0.509899,1.5425
157,55,2016,5,6828983.32,6844788.72,-0.034598000000000004,-0.034808,0.509899,1.8123
158,55,2016,6,7904149.2,7922443.04,0.157442,0.157442,0.509899,1.7790000000000001
159,55,2016,7,6803784.14,7340927.1,-0.139214,-0.139214,0.509899,1.7326
160,55,2016,8,6446795.46,6955755.0,-0.052469000000000016,-0.052469000000000016,0.509899,1.6778
161,55,2016,9,6455195.19,6964817.87,0.001303,0.001303,0.509899,1.6908
162,55,2016,10,6383797.46,6887783.45,-0.011061,-0.011061,0.509899,1.4179
163,55,2016,11,6148604.92,6634023.01,-0.036842,-0.036842,0.509899,1.4928
164,55,2016,12,5724418.38,6176347.92,-0.068989,-0.068989,0.509899,1.3966
165,61,2009,1,3609121.49,6184227.89,-0.139623,-0.139623,0.711118,0.6548
166,61,2009,2,4085350.61,6667935.77,0.078216,0.078216,0.711118,0.6789
167,61,2009,3,4287540.85,6997942.08,0.049492,0.049492,0.711118,0.5662
168,61,2009,4,4634662.19,7223973.8,0.0323,0.0323,0.711118,0.5715
169,61,2009,5,4798771.6,7743846.76,0.071965,0.071965,0.711118,0.5714
170,61,2009,6,5419558.4,8745619.34,0.139123,0.13812,0.711118,0.6209
171,61,2009,7,5443370.16,8784044.74,0.004394,0.004394,0.711118,0.5718
172,61,2009,8,5029045.4,8115442.91,-0.076115,-0.076115,0.711118,0.5392
173,61,2009,9,4948085.39,7984796.57,-0.016097999999999998,-0.016097999999999998,0.711118,0.5314
174,61,2009,10,5110005.41,8246089.24,0.032724,0.032724,0.711118,0.0587
175,61,2009,11,5924367.88,9560237.67,0.159366,0.159366,0.711118,0.146
176,61,2009,12,6610146.8,10666888.97,0.115756,0.115756,0.711118,0.2417
177,62,2018,1,14852971.98,16063724.56,-0.051937,-0.051937,0.707928,-1.9306
178,62,2018,2,13192266.98,14267645.79,-0.11181,-0.11181,0.707928,-1.7429
179,62,2018,3,13098894.01,14166661.44,-0.007078,-0.007078,0.707928,-1.6658
180,62,2018,4,14586192.06,15775197.85,0.113544,0.113544,0.707928,-2.1424
181,62,2018,5,14906327.96,16121429.9,0.038607,0.037952,0.707928,-0.9721
182,62,2018,6,13072216.02,14137808.77,-0.123043,-0.123043,0.707928,0.5347
183,62,2018,7,13959259.25,15097160.08,0.067857,0.067857,0.707928,0.5381
184,62,2018,8,12805436.1,13849282.06,-0.082656,-0.082656,0.707928,0.3758
185,62,2018,9,13412360.42,14505680.33,0.047396,0.047396,0.707928,0.5415
186,62,2018,10,11764994.42,12724027.89,-0.122824,-0.122824,0.707928,0.9946
187,62,2018,11,12888315.36,13171244.29,0.035147000000000005,0.035147000000000005,0.707928,0.998
188,62,2018,12,11758999.67,12017137.45,-0.087623,-0.087623,0.707928,1.1458
189,65,2009,1,1829041.97,1829041.97,0.8735440000000001,0.8735440000000001,0.634709,1.0691
190,65,2009,2,2340718.9,2340718.9,0.279751,0.279751,0.634709,1.1483
191,65,2009,3,3354326.53,3354326.53,0.433033,0.433033,0.634709,1.2264
192,65,2009,4,3378692.1,3378692.1,0.007264,0.007264,0.634709,1.177
193,65,2009,5,3672703.28,3672703.28,0.087019,0.087019,0.634709,1.1415
194,65,2009,6,4060928.0,4060928.0,0.108402,0.108359,0.634709,0.9314
195,65,2009,7,4390675.35,4390675.35,0.0812,0.0812,0.634709,0.8218
196,65,2009,8,2927116.9,2927116.9,-0.333333,-0.333333,0.634709,0.9104
197,65,2009,9,3139909.53,3139909.53,0.072697,0.072697,0.634709,0.8963
198,65,2009,10,3833516.03,3833516.03,0.2209,0.2209,0.634709,1.8546
199,65,2009,11,4137273.45,4137273.45,0.079237,0.079237,0.634709,2.0263
200,65,2009,12,4575853.67,4575853.67,0.106007,0.106007,0.634709,1.9214
201,66,2009,1,1179588.4,2261280.08,0.241692,0.241692,0.714918,1.2027
202,66,2009,2,1125057.55,2156744.02,-0.046229,-0.046229,0.714918,1.1296
203,66,2009,3,1354661.14,2596895.86,0.204082,0.204082,0.714918,1.0817
204,66,2009,4,2020511.53,3873336.19,0.491525,0.491525,0.714918,1.1936
205,66,2009,5,4598655.74,4599586.73,0.1875,0.1875,0.714918,1.2084
206,66,2009,6,5869336.93,5870525.17,0.276316,0.276316,0.714918,1.1614
207,66,2009,7,6276394.98,6277665.62,0.069353,0.069353,0.714918,1.0578
208,66,2009,8,5451277.32,5452380.92,-0.131464,-0.131464,0.714918,1.0053
209,66,2009,9,5627302.42,5628441.65,0.032291,0.032291,0.714918,0.9544
210,66,2009,10,7244533.03,7245999.67,0.28739000000000003,0.28739000000000003,0.714918,0.7663
211,66,2009,11,7937631.86,7939238.81,0.095672,0.095672,0.714918,0.7982
212,66,2009,12,8856262.85,8858055.78,0.115731,0.115731,0.714918,0.7877
213,68,2006,1,846000.0,2955249.14,0.074286,0.074286,0.984056,1.6421
214,68,2006,2,859500.0,3002407.37,0.015957,0.015957,0.984056,1.5484
215,68,2006,3,821250.0,2868792.39,-0.044503,-0.044503,0.984056,1.6367
216,68,2006,4,720000.0,2515105.65,-0.123288,-0.123288,0.984056,1.3928
217,68,2006,5,1113750.0,3890554.06,0.546875,0.546875,0.984056,2.4398
218,68,2006,6,1116000.0,3898413.76,0.00202,0.00202,0.984056,2.5075
219,68,2006,7,1037250.0,3623324.08,-0.070565,-0.070565,0.984056,2.1321
220,68,2006,8,1082250.0,3780518.19,0.043384,0.043384,0.984056,2.1563
221,68,2006,9,1140750.0,3984870.52,0.054054,0.054054,0.984056,2.1477
222,68,2006,10,1059750.0,3701921.14,-0.071006,-0.071006,0.984056,2.0856
223,68,2006,11,1084500.0,3788377.89,0.023355,0.023355,0.984056,1.8288
224,68,2006,12,1032750.0,3607604.67,-0.047718,-0.047718,0.984056,1.6129
225,68,2007,1,1257750.0,4393575.19,0.217865,0.217865,0.574527,1.5367
226,68,2007,2,1467000.0,5124527.77,0.16636900000000002,0.16636900000000002,0.574527,1.5798
227,68,2007,3,1926000.0,6727907.63,0.312883,0.312883,0.574527,1.716
228,68,2007,4,2304000.0,8048338.09,0.196262,0.196262,0.574527,1.1901
229,68,2007,5,2346750.0,8197672.49,0.018555,0.018555,0.574527,0.8497
230,68,2007,6,1712250.0,5981235.63,-0.270374,-0.270374,0.574527,1.0776
